Supported in,Date created,Created in,Last updated,Custom actions,Title ID,Can read OneDrive files,Can read Sharepoint sites and files,Can extend to Graph connector,Can generate images using user prompt,Can use code interpreter,Contains uploaded files,Agent name,Agent creator,Agent type (A365),Agent description,Version,Availability,Agent creator ID,Sensitivity,Can read OneDrive and Sharepoint items,OneDrive and Sharepoint items,OneDrive files,OneDrive sites,Sharepoint files,Sharepoint sites,Graph connector details,Uploaded files,Status,Channel,Creator Id,Environment Id,Bot Id,Custom action list,Instructions,Groups shared,Users shared,Entra Agent ID
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1011,No,Yes,No,Yes,No,Yes,Benefits Buddy,Jamie Sutton,Shared,"Declarative agent for hr & people requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0171@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0171@contoso-demo.com,env-0011,bot-0011,,Answer hr & people questions for Employee Services and hand off when confidence is low.,6,75,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1012,No,Yes,No,No,No,No,Contract Review Agent,Avery Grant,Shared,"Declarative agent for compliance & policy requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0188@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0188@contoso-demo.com,env-0012,bot-0012,,Answer compliance & policy questions for Legal Ops and hand off when confidence is low.,3,130,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1013,Yes,Yes,No,No,No,Yes,Onboarding FAQ Agent,Sam Osborne,Shared,"Declarative agent for knowledge base requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0205@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0205@contoso-demo.com,env-0013,bot-0013,,Answer knowledge base questions for Employee Services and hand off when confidence is low.,3,112,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1014,No,Yes,No,No,No,No,Executive Briefing Agent,Sam Sutton,Shared,"Declarative agent for research & analysis requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0222@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0222@contoso-demo.com,env-0014,bot-0014,,Answer research & analysis questions for Contoso Demo Ltd and hand off when confidence is low.,2,125,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1015,No,Yes,No,No,No,Yes,Sales Proposal Writer,Jamie Norton,Shared,"Declarative agent for content generation requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0239@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0239@contoso-demo.com,env-0015,bot-0015,,Answer content generation questions for Contoso Demo Ltd and hand off when confidence is low.,1,258,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1016,Yes,Yes,No,Yes,No,No,Meeting Notes Agent,Sam Palmer,Shared,"Declarative agent for note taking requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0256@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0256@contoso-demo.com,env-0016,bot-0016,,Answer note taking questions for Contoso Demo Ltd and hand off when confidence is low.,1,234,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,5,T_2001,No,Yes,Yes,No,No,Yes,ServiceNow Ticket Agent,Avery Dawson,Shared,"Copilot Studio custom engine agent for it & service desk, published by IT Service Management.",1.0.0,Specific groups,user0013@contoso-demo.com,General,Yes,,,,,,IT Service Management connector,,Available,Copilot Studio,user0013@contoso-demo.com,env-0017,bot-0017,it_action_1; it_action_2; it_action_3,Answer it & service desk questions for IT Service Management and hand off when confidence is low.,1,66,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,13,T_2002,No,Yes,Yes,No,Yes,No,Dynamics 365 Opportunity Agent,Harper Quincy,Shared,"Copilot Studio custom engine agent for sales & customer, published by Revenue Operations.",1.0.0,Specific groups,user0030@contoso-demo.com,General,Yes,,,,,,Revenue Operations connector,,Available,Copilot Studio,user0030@contoso-demo.com,env-0018,bot-0018,sales_action_1; sales_action_2; sales_action_3,Answer sales & customer questions for Revenue Operations and hand off when confidence is low.,5,146,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,14,T_2003,Yes,Yes,Yes,No,No,Yes,SAP Invoice Agent,Harper Mercer,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Finance Systems.",1.0.0,Specific groups,user0047@contoso-demo.com,Confidential,Yes,,,,,,Finance Systems connector,,Available,Copilot Studio,user0047@contoso-demo.com,env-0019,bot-0019,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Finance Systems and hand off when confidence is low.,5,94,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,8,T_2004,No,Yes,Yes,No,No,No,Workday Absence Agent,Jordan Turner,Shared,"Copilot Studio custom engine agent for hr & people, published by People Systems.",1.0.0,Specific groups,user0064@contoso-demo.com,General,Yes,,,,,,People Systems connector,,Available,Copilot Studio,user0064@contoso-demo.com,env-0020,bot-0020,hr_action_1; hr_action_2; hr_action_3,Answer hr & people questions for People Systems and hand off when confidence is low.,1,259,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,13,T_2005,No,Yes,Yes,Yes,No,Yes,Salesforce Account Agent,Dakota Keller,Shared,"Copilot Studio custom engine agent for cross-org agent, published by Revenue Operations.",1.0.0,Specific groups,user0081@contoso-demo.com,General,Yes,,,,,,Revenue Operations connector,,Available,Copilot Studio,user0081@contoso-demo.com,env-0021,bot-0021,cross-org_action_1; cross-org_action_2; cross-org_action_3,Answer cross-org agent questions for Revenue Operations and hand off when confidence is low.,6,242,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,8,T_2006,Yes,Yes,Yes,No,Yes,No,Dataverse Analytics Agent,Emerson Sutton,Shared,"Copilot Studio custom engine agent for data & reporting, published by Data & Analytics.",1.0.0,Specific groups,user0098@contoso-demo.com,Confidential,Yes,,,,,,Data & Analytics connector,,Available,Copilot Studio,user0098@contoso-demo.com,env-0022,bot-0022,data_action_1; data_action_2; data_action_3,Answer data & reporting questions for Data & Analytics and hand off when confidence is low.,2,135,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,6,T_2007,No,Yes,Yes,No,No,Yes,Supplier Onboarding Agent,Casey Mercer,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Procurement.",1.0.0,Specific groups,user0115@contoso-demo.com,General,Yes,,,,,,Procurement connector,,Available,Copilot Studio,user0115@contoso-demo.com,env-0023,bot-0023,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Procurement and hand off when confidence is low.,1,237,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,11,T_2008,No,Yes,Yes,No,No,No,Claims Triage Agent,Skyler Dawson,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Customer Operations.",1.0.0,Specific groups,user0132@contoso-demo.com,General,Yes,,,,,,Customer Operations connector,,Available,Copilot Studio,user0132@contoso-demo.com,env-0024,bot-0024,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Customer Operations and hand off when confidence is low.,4,156,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,4,T_2009,Yes,Yes,Yes,No,No,Yes,Clinical Policy Agent,Dakota Palmer,Shared,"Copilot Studio custom engine agent for compliance & policy, published by Risk & Compliance.",1.0.0,Specific groups,user0149@contoso-demo.com,Confidential,Yes,,,,,,Risk & Compliance connector,,Available,Copilot Studio,user0149@contoso-demo.com,env-0025,bot-0025,compliance_action_1; compliance_action_2; compliance_action_3,Answer compliance & policy questions for Risk & Compliance and hand off when confidence is low.,6,96,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,14,T_2010,No,Yes,Yes,Yes,Yes,No,Store Operations Agent,Morgan Adams,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Retail Operations.",1.0.0,Specific groups,user0166@contoso-demo.com,General,Yes,,,,,,Retail Operations connector,,Available,Copilot Studio,user0166@contoso-demo.com,env-0026,bot-0026,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Retail Operations and hand off when confidence is low.,5,131,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,13,T_2011,No,Yes,Yes,No,No,Yes,Field Service Scheduler,Alex Keller,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Field Operations.",1.0.0,Specific groups,user0183@contoso-demo.com,General,Yes,,,,,,Field Operations connector,,Available,Copilot Studio,user0183@contoso-demo.com,env-0027,bot-0027,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Field Operations and hand off when confidence is low.,3,165,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,13,T_2012,Yes,Yes,Yes,No,No,No,Partner Portal Agent,Avery Osborne,Shared,"Copilot Studio custom engine agent for cross-org agent, published by Partner Ecosystem.",1.0.0,Specific groups,user0200@contoso-demo.com,Confidential,Yes,,,,,,Partner Ecosystem connector,,Available,Copilot Studio,user0200@contoso-demo.com,env-0028,bot-0028,cross-org_action_1; cross-org_action_2; cross-org_action_3,Answer cross-org agent questions for Partner Ecosystem and hand off when confidence is low.,2,238,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,7,T_2013,No,Yes,Yes,No,No,Yes,Customer Escalation Agent,Harper Palmer,Shared,"Copilot Studio custom engine agent for sales & customer, published by Customer Operations.",1.0.0,Specific groups,user0217@contoso-demo.com,General,Yes,,,,,,Customer Operations connector,,Available,Copilot Studio,user0217@contoso-demo.com,env-0029,bot-0029,sales_action_1; sales_action_2; sales_action_3,Answer sales & customer questions for Customer Operations and hand off when confidence is low.,3,234,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,9,T_2014,No,Yes,Yes,No,Yes,No,Procurement Policy Agent,Skyler Keller,Shared,"Copilot Studio custom engine agent for compliance & policy, published by Procurement.",1.0.0,Specific groups,user0234@contoso-demo.com,General,Yes,,,,,,Procurement connector,,Available,Copilot Studio,user0234@contoso-demo.com,env-0030,bot-0030,compliance_action_1; compliance_action_2; compliance_action_3,Answer compliance & policy questions for Procurement and hand off when confidence is low.,2,126,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,4,T_2015,Yes,Yes,Yes,Yes,No,Yes,Quality Inspection Agent,Riley Osborne,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Manufacturing.",1.0.0,Specific groups,user0251@contoso-demo.com,Confidential,Yes,,,,,,Manufacturing connector,,Available,Copilot Studio,user0251@contoso-demo.com,env-0031,bot-0031,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Manufacturing and hand off when confidence is low.,1,46,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,4,T_2016,No,Yes,Yes,No,No,No,Logistics Tracking Agent,Rowan Adams,Shared,"Copilot Studio custom engine agent for domain-specific agent, published by Supply Chain.",1.0.0,Specific groups,user0008@contoso-demo.com,General,Yes,,,,,,Supply Chain connector,,Available,Copilot Studio,user0008@contoso-demo.com,env-0032,bot-0032,domain-specific_action_1; domain-specific_action_2; domain-specific_action_3,Answer domain-specific agent questions for Supply Chain and hand off when confidence is low.,1,146,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,4,T_2017,No,Yes,Yes,No,No,Yes,Engineering Knowledge Agent,Riley Keller,Shared,"Copilot Studio custom engine agent for knowledge base, published by Engineering.",1.0.0,Specific groups,user0025@contoso-demo.com,General,Yes,,,,,,Engineering connector,,Available,Copilot Studio,user0025@contoso-demo.com,env-0033,bot-0033,knowledge_action_1; knowledge_action_2; knowledge_action_3,Answer knowledge base questions for Engineering and hand off when confidence is low.,1,223,
Microsoft 365 Copilot;Teams;Copilot Studio,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,5,T_2018,Yes,Yes,Yes,No,Yes,No,Tender Response Agent,Avery Sutton,Shared,"Copilot Studio custom engine agent for content generation, published by Bid Management.",1.0.0,Specific groups,user0042@contoso-demo.com,Confidential,Yes,,,,,,Bid Management connector,,Available,Copilot Studio,user0042@contoso-demo.com,env-0034,bot-0034,content_action_1; content_action_2; content_action_3,Answer content generation questions for Bid Management and hand off when confidence is low.,2,253,
Copilot Studio;Power Automate,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,10,T_3001,No,Yes,No,No,No,No,Invoice Matching Autonomous Agent,Finley Keller,Autonomous,Autonomous agent that runs the running a workflow workflow unattended on a schedule and on events.,1.0.0,Specific groups,user0059@contoso-demo.com,General,Yes,,,,,,,,Available,Power Automate,user0059@contoso-demo.com,env-0035,bot-0035,running_action_1; running_action_2; running_action_3,Answer running a workflow questions for Finance Systems and hand off when confidence is low.,5,49,agt-t_3001
Copilot Studio;Power Automate,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,6,T_3002,No,Yes,No,Yes,No,No,Lead Qualification Autonomous Agent,Sage Quincy,Autonomous,Autonomous agent that runs the running a workflow workflow unattended on a schedule and on events.,1.0.0,Specific groups,user0076@contoso-demo.com,General,Yes,,,,,,,,Available,Power Automate,user0076@contoso-demo.com,env-0036,bot-0036,running_action_1; running_action_2; running_action_3,Answer running a workflow questions for Revenue Operations and hand off when confidence is low.,3,100,agt-t_3002
Copilot Studio;Power Automate,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,3,T_3003,Yes,Yes,No,No,No,No,Ticket Deflection Autonomous Agent,Morgan Adams,Autonomous,Autonomous agent that runs the running a workflow workflow unattended on a schedule and on events.,1.0.0,Specific groups,user0093@contoso-demo.com,Confidential,Yes,,,,,,,,Available,Power Automate,user0093@contoso-demo.com,env-0037,bot-0037,running_action_1; running_action_2; running_action_3,Answer running a workflow questions for IT Service Management and hand off when confidence is low.,3,216,agt-t_3003
Copilot Studio;Power Automate,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,7,T_3004,No,Yes,No,No,No,No,Compliance Monitoring Autonomous Agent,Rowan Sutton,Autonomous,Autonomous agent that runs the running a workflow workflow unattended on a schedule and on events.,1.0.0,Specific groups,user0110@contoso-demo.com,General,Yes,,,,,,,,Available,Power Automate,user0110@contoso-demo.com,env-0038,bot-0038,running_action_1; running_action_2; running_action_3,Answer running a workflow questions for Risk & Compliance and hand off when confidence is low.,1,114,agt-t_3004
Copilot Studio;Power Automate,2026-03-02T10:00:00Z,Copilot Studio,2026-06-20T14:30:00Z,6,T_3005,No,Yes,No,No,No,No,Inventory Replenishment Autonomous Agent,Taylor Jensen,Autonomous,Autonomous agent that runs the running a workflow workflow unattended on a schedule and on events.,1.0.0,Specific groups,user0127@contoso-demo.com,General,Yes,,,,,,,,Available,Power Automate,user0127@contoso-demo.com,env-0039,bot-0039,running_action_1; running_action_2; running_action_3,Answer running a workflow questions for Supply Chain and hand off when confidence is low.,5,100,agt-t_3005
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4001,Yes,Yes,No,No,No,No,Cowork Planning Agent,Reese Jensen,Cowork,Copilot Cowork skill that plans and executes multi-step running a workflow work across apps with human approval.,1.0.0,Everyone,user0144@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0144@contoso-demo.com,env-0040,bot-0040,,Answer running a workflow questions for Contoso Demo Ltd and hand off when confidence is low.,6,25,agt-t_4001
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4002,Yes,Yes,No,Yes,No,No,Cowork Research Sprint,Dakota Adams,Cowork,Copilot Cowork skill that plans and executes multi-step research & analysis work across apps with human approval.,1.0.0,Everyone,user0161@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0161@contoso-demo.com,env-0041,bot-0041,,Answer research & analysis questions for Contoso Demo Ltd and hand off when confidence is low.,1,190,agt-t_4002
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4003,Yes,Yes,No,No,No,No,Cowork Document Build,Avery Norton,Cowork,Copilot Cowork skill that plans and executes multi-step content generation work across apps with human approval.,1.0.0,Everyone,user0178@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0178@contoso-demo.com,env-0042,bot-0042,,Answer content generation questions for Contoso Demo Ltd and hand off when confidence is low.,3,139,agt-t_4003
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4004,Yes,Yes,No,No,No,No,Cowork Meeting Follow-up,Harper Sutton,Cowork,Copilot Cowork skill that plans and executes multi-step task management work across apps with human approval.,1.0.0,Everyone,user0195@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0195@contoso-demo.com,env-0043,bot-0043,,Answer task management questions for Contoso Demo Ltd and hand off when confidence is low.,3,111,agt-t_4004
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4005,Yes,Yes,No,No,No,No,Cowork Data Review,Charlie Mercer,Cowork,Copilot Cowork skill that plans and executes multi-step data & reporting work across apps with human approval.,1.0.0,Everyone,user0212@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0212@contoso-demo.com,env-0044,bot-0044,,Answer data & reporting questions for Contoso Demo Ltd and hand off when confidence is low.,4,185,agt-t_4005
Microsoft 365 Copilot;Cowork,2026-03-02T10:00:00Z,Microsoft 365 Copilot,2026-06-20T14:30:00Z,0,T_4006,Yes,Yes,No,No,No,No,Cowork Onboarding Pack,Blake Clarke,Cowork,Copilot Cowork skill that plans and executes multi-step hr & people work across apps with human approval.,1.0.0,Everyone,user0229@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft 365 Copilot,user0229@contoso-demo.com,env-0045,bot-0045,,Answer hr & people questions for Employee Services and hand off when confidence is low.,3,249,agt-t_4006
Microsoft 365 Copilot;Scout,2026-03-02T10:00:00Z,Microsoft Scout,2026-06-20T14:30:00Z,0,T_5001,Yes,Yes,Yes,Yes,No,No,Microsoft Scout,Microsoft,Proactive,"Microsoft Scout proactive assistance for research & analysis, running continuously under its own agent identity.",1.0.0,Everyone,microsoft,General,Yes,,,,,,Microsoft connector,,Available,Microsoft Scout,microsoft,env-0046,bot-0046,,Answer research & analysis questions for Microsoft and hand off when confidence is low.,3,73,agt-t_5001
Microsoft 365 Copilot;Scout,2026-03-02T10:00:00Z,Microsoft Scout,2026-06-20T14:30:00Z,0,T_5002,Yes,Yes,Yes,No,No,No,Scout Daily Briefing,Microsoft,Proactive,"Microsoft Scout proactive assistance for research & analysis, running continuously under its own agent identity.",1.0.0,Everyone,microsoft,General,Yes,,,,,,Microsoft connector,,Available,Microsoft Scout,microsoft,env-0047,bot-0047,,Answer research & analysis questions for Microsoft and hand off when confidence is low.,1,198,agt-t_5002
Microsoft 365 Copilot;Scout,2026-03-02T10:00:00Z,Microsoft Scout,2026-06-20T14:30:00Z,0,T_5003,Yes,Yes,Yes,No,No,No,Scout Meeting Prep,Microsoft,Proactive,"Microsoft Scout proactive assistance for meeting prep, running continuously under its own agent identity.",1.0.0,Everyone,microsoft,General,Yes,,,,,,Microsoft connector,,Available,Microsoft Scout,microsoft,env-0048,bot-0048,,Answer meeting prep questions for Microsoft and hand off when confidence is low.,1,228,agt-t_5003
Microsoft 365 Copilot;Scout,2026-03-02T10:00:00Z,Microsoft Scout,2026-06-20T14:30:00Z,0,T_5004,Yes,Yes,Yes,No,No,No,Scout Inbox Watch,Microsoft,Proactive,"Microsoft Scout proactive assistance for email triage, running continuously under its own agent identity.",1.0.0,Everyone,microsoft,General,Yes,,,,,,Microsoft connector,,Available,Microsoft Scout,microsoft,env-0049,bot-0049,,Answer email triage questions for Microsoft and hand off when confidence is low.,5,222,agt-t_5004
Microsoft 365 Copilot;Scout,2026-03-02T10:00:00Z,Microsoft Scout,2026-06-20T14:30:00Z,0,T_5005,Yes,Yes,Yes,No,No,No,Scout Deal Watch,Microsoft,Proactive,"Microsoft Scout proactive assistance for sales & customer, running continuously under its own agent identity.",1.0.0,Everyone,microsoft,General,Yes,,,,,,Microsoft connector,,Available,Microsoft Scout,microsoft,env-0050,bot-0050,,Answer sales & customer questions for Microsoft and hand off when confidence is low.,2,97,agt-t_5005
